NSC,Conclusion
48,CI
78,CI
128,CI
163,CI
164,CI
170,CI
180,CI
186,CI
192,CI
203,CI
210,CI
211,CM
213,CI
220,CI
229,CI
256,CI
258,CM
262,CI
377,CI
416,CI
439,CI
453,CI
473,CI
497,CI
500,CI
521,CI
546,CI
626,CI
671,CI
679,CI
680,CI
737,CI
740,CI
742,CI
749,CI
750,CI
752,CI
755,CI
757,CI
762,CI
763,CI
779,CI
780,CI
788,CI
838,CI
839,CI
982,CI
989,CI
992,CI
994,CI
995,CI
1026,CI
1027,CI
1088,CI
1104,CI
1112,CI
1115,CI
1116,CI
1118,CI
1122,CI
1124,CI
1126,CI
1128,CI
1135,CI
1163,CI
1168,CI
1175,CI
1183,CI
1185,CI
1231,CI
1249,CI
1296,CI
1339,CI
1347,CI
1356,CI
1362,CI
1364,CI
1386,CI
1390,CI
1468,CI
1541,CM
1543,CI
1570,CI
1736,CI
1756,CI
1757,CI
1771,CI
1793,CI
1816,CI
1895,CI
1898,CI
1899,CI
1906,CI
1937,CI
1986,CI
2018,CI
2031,CI
2035,CI
2101,CI
2184,CI
2203,CI
2253,CI
2339,CI
2382,CI
2384,CI
2389,CI
2441,CI
2452,CI
2483,CI
2520,CI
2537,CI
2539,CI
2565,CI
2575,CI
2619,CI
2667,CI
2678,CI
2687,CI
2689,CI
2705,CI
2709,CI
2713,CI
2726,CI
2738,CI
2741,CI
2743,CI
2750,CI
2760,CI
2761,CI
2765,CI
2771,CI
2775,CI
2788,CI
2798,CI
2801,CI
2833,CI
2858,CI
2917,CI
2918,CI
2963,CI
2964,CI
2965,CI
2966,CI
2968,CI
2969,CI
2972,CI
2978,CI
2979,CI
2982,CI
3051,CI
3053,CI
3055,CI
3060,CI
3061,CI
3062,CI
3069,CI
3077,CI
3086,CI
3088,CI
3090,CI
3091,CI
3096,CI
3097,CI
3098,CI
3110,CI
3124,CI
3140,CI
3141,CI
3184,CI
3208,CI
3225,CI
3235,CI
3255,CI
3264,CI
3286,CI
3319,CI
3348,CI
3360,CI
3364,CI
3389,CI
3390,CI
3415,CI
3416,CI
3417,CI
3420,CI
3422,CI
3427,CI
3428,CI
3429,CI
3430,CI
3469,CI
3590,CI
3598,CI
3609,CI
3627,CI
3690,CI
3691,CI
3695,CI
3740,CI
3767,CI
3846,CI
3851,CI
3852,CI
3865,CM
3875,CI
3899,CI
3904,CI
3927,CI
3929,CI
3937,CI
3951,CI
4056,CA
4108,CI
4114,CI
